,severity_class
17221,leger
14676,modere
12817,leger
1100,leger
19018,modere
12435,leger
14670,modere
3562,severe
14092,modere
385,severe
17214,leger
15872,leger
1804,leger
7304,modere
2386,modere
14634,modere
19425,modere
16095,leger
6925,modere
13516,modere
13948,modere
18882,modere
16641,modere
7687,leger
423,modere
13257,leger
6101,modere
11867,modere
6151,modere
4313,modere
8405,modere
5248,severe
7091,modere
15555,leger
8967,leger
9980,modere
11909,leger
11011,modere
10589,leger
10910,modere
5343,modere
13754,modere
11164,modere
8177,modere
17438,severe
7440,modere
2044,modere
17405,leger
7141,leger
15454,modere
17279,leger
9917,modere
14848,severe
14633,modere
2326,modere
415,leger
51,modere
16625,leger
7283,leger
9103,leger
6805,leger
18319,leger
10810,leger
19065,leger
8523,severe
13105,modere
11387,modere
2902,modere
782,leger
9464,modere
12459,leger
4873,severe
2996,leger
17630,modere
14265,modere
15820,leger
4208,severe
8251,leger
14932,leger
15535,leger
16965,modere
13324,leger
272,leger
18958,leger
11447,leger
8680,modere
16617,leger
9709,severe
10926,modere
15593,leger
13602,severe
10702,modere
2524,leger
14652,modere
4158,modere
8988,modere
6334,modere
8000,modere
9984,modere
10364,leger
7148,modere
7538,leger
10902,modere
13350,modere
8576,severe
3219,modere
15064,modere
2452,leger
9901,leger
5445,leger
9526,severe
4675,modere
17213,severe
18062,modere
3667,modere
9501,modere
17874,severe
5880,leger
4811,leger
7243,leger
4360,leger
13111,modere
999,modere
17122,modere
2479,leger
8922,leger
8593,modere
4089,leger
10873,leger
15189,modere
3464,modere
2914,leger
16378,leger
6306,leger
18971,modere
14012,leger
14821,modere
12494,leger
8381,modere
8730,leger
17944,leger
7785,severe
1578,modere
17855,severe
16067,modere
16756,leger
5803,severe
13311,leger
19035,leger
16721,modere
14739,modere
3380,modere
9570,leger
673,leger
2729,modere
12928,leger
1136,modere
4493,leger
17090,leger
9583,modere
13919,leger
15993,modere
6710,leger
13775,modere
14832,leger
12533,leger
6955,modere
13501,modere
12378,leger
8778,leger
3012,leger
5867,leger
6581,leger
8756,modere
4832,leger
6069,leger
19431,leger
16306,modere
1021,modere
18168,modere
4096,severe
7190,modere
14540,leger
7254,leger
19222,modere
11200,leger
1657,leger
5820,leger
12556,leger
14095,leger
7562,leger
16754,modere
10930,modere
2355,severe
18657,modere
1852,modere
3505,leger
9211,leger
3271,leger
17652,modere
12375,leger
17005,severe
14414,modere
10650,leger
10290,leger
18503,modere
17460,modere
5878,modere
189,leger
11812,modere
14804,modere
53,severe
17675,modere
3191,severe
6123,leger
9508,severe
227,leger
