,severity_class
17221,0
14676,1
12817,0
1100,0
19018,1
12435,0
14670,1
3562,2
14092,1
385,2
17214,0
15872,0
1804,0
7304,1
2386,1
14634,1
19425,1
16095,0
6925,1
13516,1
13948,1
18882,1
16641,1
7687,0
423,1
13257,0
6101,1
11867,1
6151,1
4313,1
8405,1
5248,2
7091,1
15555,0
8967,0
9980,1
11909,0
11011,1
10589,0
10910,1
5343,1
13754,1
11164,1
8177,1
17438,2
7440,1
2044,1
17405,0
7141,0
15454,1
17279,0
9917,1
14848,2
14633,1
2326,1
415,0
51,1
16625,0
7283,0
9103,0
6805,0
18319,0
10810,0
19065,0
8523,2
13105,1
11387,1
2902,1
782,0
9464,1
12459,0
4873,2
2996,0
17630,1
14265,1
15820,0
4208,2
8251,0
14932,0
15535,0
16965,1
13324,0
272,0
18958,0
11447,0
8680,1
16617,0
9709,2
10926,1
15593,0
13602,2
10702,1
2524,0
14652,1
4158,1
8988,1
6334,1
8000,1
9984,1
10364,0
7148,1
7538,0
10902,1
13350,1
8576,2
3219,1
15064,1
2452,0
9901,0
5445,0
9526,2
4675,1
17213,2
18062,1
3667,1
9501,1
17874,2
5880,0
4811,0
7243,0
4360,0
13111,1
999,1
17122,1
2479,0
8922,0
8593,1
4089,0
10873,0
15189,1
3464,1
2914,0
16378,0
6306,0
18971,1
14012,0
14821,1
12494,0
8381,1
8730,0
17944,0
7785,2
1578,1
17855,2
16067,1
16756,0
5803,2
13311,0
19035,0
16721,1
14739,1
3380,1
9570,0
673,0
2729,1
12928,0
1136,1
4493,0
17090,0
9583,1
13919,0
15993,1
6710,0
13775,1
14832,0
12533,0
6955,1
13501,1
12378,0
8778,0
3012,0
5867,0
6581,0
8756,1
4832,0
6069,0
19431,0
16306,1
1021,1
18168,1
4096,2
7190,1
14540,0
7254,0
19222,1
11200,0
1657,0
5820,0
12556,0
14095,0
7562,0
16754,1
10930,1
2355,2
18657,1
1852,1
3505,0
9211,0
3271,0
17652,1
12375,0
17005,2
14414,1
10650,0
10290,0
18503,1
17460,1
5878,1
189,0
11812,1
14804,1
53,2
17675,1
3191,2
6123,0
9508,2
227,0
17240,2
17272,2
13459,1
4755,0
1510,0
7374,1
10781,0
7472,0
16947,0
280,0
2302,1
15678,0
5118,0
14028,0
3270,1
13559,1
13742,0
4886,1
7289,1
19313,0
48,0
14453,1
4907,1
2074,0
5231,0
6509,0
7589,0
7880,1
17498,1
7582,0
1481,0
10436,1
4011,1
5422,1
10647,0
14088,0
12319,0
1201,1
7602,0
12785,1
8428,0
11749,0
13767,0
14806,0
13893,1
7780,0
18310,0
2504,0
17982,0
17091,0
461,0
8805,0
15467,1
1242,1
3933,0
6901,1
16523,1
1629,0
1714,0
16948,1
17515,1
4966,0
18348,1
8641,1
4274,2
1767,0
1285,0
12827,1
13161,1
2961,1
9618,0
9664,0
4946,0
10433,1
2377,1
14207,2
18549,0
11727,0
5184,0
6316,1
13315,1
4784,0
15730,1
14938,0
16706,2
4410,1
1936,0
3742,0
13093,2
12780,0
5106,1
12924,1
19038,0
13211,0
2929,1
18327,1
13178,0
13469,2
8069,1
8010,0
3212,0
15081,0
3966,0
7747,0
14963,0
11025,0
5907,0
13961,1
2921,1
11089,0
8394,0
1399,1
10720,0
6196,1
4774,0
10651,0
16849,0
7867,2
12009,1
13752,0
18039,0
17361,0
7185,0
13933,0
7413,1
4437,0
2477,1
12944,0
1917,1
11050,0
13283,1
11388,0
3112,0
10029,1
14941,0
8274,0
9931,0
14195,1
13821,1
10713,0
7740,0
19418,0
17113,1
16511,1
14864,0
1619,0
7791,1
9663,2
6863,0
6417,1
10697,1
13222,0
7329,1
10974,0
12461,1
6728,1
4197,1
8769,0
7551,2
7768,2
2246,0
11557,2
6698,0
15415,0
10571,2
13063,1
13002,1
8622,2
12895,1
3768,0
12270,0
18817,1
8977,2
10777,1
15981,0
12712,0
16223,0
18399,0
16705,2
1803,1
343,1
17479,0
5663,1
14851,1
6216,0
134,1
17704,1
5998,0
11588,0
6943,0
5748,0
8845,0
11321,1
17186,0
2503,1
17392,1
19166,2
11640,1
1602,1
6219,0
6185,2
5721,0
1054,1
3561,1
13901,0
4306,0
9329,1
8089,1
5800,0
7076,1
12147,1
15025,0
8054,0
18372,0
9889,0
13765,1
4253,0
3853,0
