feature,mean_abs_shap
num__RCONSC_NUM,0.8130088516975724
cat__SEX_F,0.3856477692690723
cat__RXASP_Y,0.369946795003469
num__AGE,0.3603170152043797
cat__RXASP_N,0.3192654477815258
num__RDEF_SCORE,0.3129545890487947
cat__SEX_M,0.29890238605575803
cat__RATRIAL_N,0.2711607928641216
cat__STYPE_LACS,0.24982103263468014
cat__STYPE_PACS,0.18439069916969947
cat__RXHEP_L,0.17048424096419246
cat__RATRIAL_Y,0.15654615397810048
cat__RXHEP_N,0.14355545794870175
cat__RXHEP_M,0.1272990733131485
num__RDELAY,0.11927140367933439
num__RSBP,0.05879800505781503
cat__STYPE_POCS,0.050150566955754865
cat__STYPE_TACS,0.02720858124224682
cat__RXHEP_H,0.007523077911646282
cat__STYPE_OTH,0.0003466959457631861
