feature,mean_abs_shap
num__RCONSC_NUM,0.5920649228918986
num__AGE,0.5782289136206845
cat__SEX_F,0.4397598868215341
cat__RXASP_Y,0.4159812219764366
cat__RXASP_N,0.40101030770356855
cat__SEX_M,0.3841230474407916
cat__RATRIAL_N,0.31197738820136206
num__RDEF_SCORE,0.2643750262003158
cat__RXHEP_N,0.19216143141126876
cat__STYPE_LACS,0.17677416779012795
cat__RATRIAL_Y,0.17500740756363256
cat__RXHEP_M,0.14360025444341407
cat__RXHEP_L,0.13555983464366414
num__RSBP,0.09700889809786499
cat__STYPE_PACS,0.09566693616362823
cat__STYPE_TACS,0.06546487625797391
cat__STYPE_POCS,0.06543406582055876
num__RDELAY,0.040417636123162994
cat__RXHEP_H,0.012164551157749054
cat__STYPE_OTH,0.004347619150099013
